station_origin,Abbey Road,Acton Central,Acton Town,Aldgate,Aldgate East,All Saints,Alperton,Amersham,Anerley,Angel,Archway,Arnos Grove,Arsenal,Baker Street,Balham,Bank and Monument,Barbican,Barking,Barkingside,Barons Court,Battersea Park,Bayswater,Beckton,Beckton Park,Becontree,Belsize Park,Bermondsey,Bethnal Green,Blackfriars,Blackhorse Road,Blackwall,Bond Street,Borough,Boston Manor,Bounds Green,Bow Church,Bow Road,Brent Cross,Brentwood,Brixton,Brockley,Bromley-by-Bow,Brondesbury,Brondesbury Park,Bruce Grove,Buckhurst Hill,Burnt Oak,Bush Hill Park,Bushey,Caledonian Road,Caledonian Road & Barnsbury,Cambridge Heath,Camden Road,Camden Town,Canada Water,Canary Wharf,Canning Town,Cannon Street,Canonbury,Canons Park,Carpenders Park,Chadwell Heath,Chalfont & Latimer,Chalk Farm,Chancery Lane,Charing Cross,Chesham,Cheshunt,Chigwell,Chingford,Chiswick Park,Chorleywood,Clapham Common,Clapham High Street,Clapham Junction,Clapham North,Clapham South,Clapton,Cockfosters,Colindale,Colliers Wood,Covent Garden,Crossharbour,Crouch Hill,Croxley,Crystal Palace,Custom House,Cutty Sark,Cyprus,Dagenham East,Dagenham Heathway,Dalston Junction,Dalston Kingsland,Debden,Denmark Hill,Deptford Bridge,Devons Road,Dollis Hill,Ealing Broadway,Ealing Common,Earl's Court,East Acton,East Finchley,East Ham,East India,East Putney,Eastcote,Edgware,Edgware Road,Edmonton Green,Elephant & Castle,Elm Park,Elverson Road,Embankment,Emerson Park,Enfield Town,Epping,Euston,Euston Square,Fairlop,Farringdon,Finchley Central,Finchley Road,Finchley Road & Frognal,Finsbury Park,Forest Gate,Forest Hill,Fulham Broadway,Gallions Reach,Gants Hill,Gidea Park,Gloucester Road,Golders Green,Goldhawk Road,Goodge Street,Goodmayes,Gospel Oak,Grange Hill,Great Portland Street,Green Park,Greenford,Greenwich,Gunnersbury,Hackney Central,Hackney Downs,Hackney Wick,Haggerston,Hainault,Hammersmith,Hampstead,Hampstead Heath,Hanger Lane,Harlesden,Harold Wood,Harringay Green Lanes,Harrow & Wealdstone,Harrow-on-the-Hill,Hatch End,Hatton Cross,Headstone Lane,Heathrow Terminal 4,Heathrow Terminal 5,Heathrow Terminals 2 & 3,Hendon Central,Heron Quays,High Barnet,High Street Kensington,Highams Park,Highbury & Islington,Highgate,Hillingdon,Holborn,Holland Park,Holloway Road,Homerton,Honor Oak Park,Hornchurch,Hounslow Central,Hounslow East,Hounslow West,Hoxton,Hyde Park Corner,Ickenham,Ilford,Imperial Wharf,Island Gardens,Kennington,Kensal Green,Kensal Rise,Kensington,Kentish Town,Kentish Town West,Kenton,Kew Gardens,Kilburn,Kilburn High Road,Kilburn Park,King George V,King's Cross St. Pancras,Kingsbury,Knightsbridge,Ladbroke Grove,Lambeth North,Lancaster Gate,Langdon Park,Latimer Road,Leicester Square,Lewisham,Leyton,Leyton Midland Road,Leytonstone,Leytonstone High Road,Limehouse,Liverpool Street,London Bridge,London City Airport,London Fields,Loughton,Maida Vale,Manor House,Manor Park,Mansion House,Marble Arch,Maryland,Marylebone,Mile End,Mill Hill East,Moor Park,Moorgate,Morden,Mornington Crescent,Mudchute,Neasden,New Cross,New Cross Gate,Newbury Park,North Acton,North Ealing,North Greenwich,North Harrow,North Wembley,Northfields,Northolt,Northwick Park,Northwood,Northwood Hills,Norwood Junction,Notting Hill Gate,Oakwood,Old Street,Osterley,Oval,Oxford Circus,Paddington,Park Royal,Parsons Green,Peckham Rye,Penge West,Perivale,Piccadilly Circus,Pimlico,Pinner,Plaistow,Pontoon Dock,Poplar,Preston Road,Prince Regent,Pudding Mill Lane,Putney Bridge,Queen's Park,Queens Road Peckham,Queensbury,Queensway,Ravenscourt Park,Rayners Lane,Rectory Road,Redbridge,Regent's Park,Richmond,Rickmansworth,Roding Valley,Romford,Rotherhithe,Royal Albert,Royal Oak,Royal Victoria,Ruislip,Ruislip Gardens,Ruislip Manor,Russell Square,Seven Kings,Seven Sisters,Shadwell,Shenfield,Shepherd's Bush,Shepherd's Bush Market,Shoreditch High Street,Silver Street,Sloane Square,Snaresbrook,South Acton,South Ealing,South Hampstead,South Harrow,South Kensington,South Kenton,South Quay,South Ruislip,South Tottenham,South Wimbledon,South Woodford,Southbury,Southfields,Southgate,Southwark,St James Street,St. James's Park,St. John's Wood,St. Paul's,Stamford Brook,Stamford Hill,Stanmore,Star Lane,Stepney Green,Stockwell,Stoke Newington,Stonebridge Park,Stratford,Stratford High Street,Stratford International,Sudbury Hill,Sudbury Town,Surrey Quays,Swiss Cottage,Sydenham,Temple,Theobalds Grove,Theydon Bois,Tooting Bec,Tooting Broadway,Tottenham Court Road,Tottenham Hale,Totteridge & Whetstone,Tower Gateway,Tower Hill,Tufnell Park,Turkey Street,Turnham Green,Turnpike Lane,Upminster,Upminster Bridge,Upney,Upper Holloway,Upton Park,Uxbridge,Vauxhall,Victoria,Walthamstow Central,Walthamstow Queens Road,Wandsworth Road,Wanstead,Wanstead Park,Wapping,Warren Street,Warwick Avenue,Waterloo,Watford,Watford High Street,Watford Junction,Wembley Central,Wembley Park,West Acton,West Brompton,West Croydon,West Finchley,West Ham,West Hampstead,West Harrow,West India Quay,West Kensington,West Ruislip,West Silvertown,Westbourne Park,Westferry,Westminster,White City,White Hart Lane,Whitechapel,Willesden Green,Willesden Junction,Wimbledon,Wimbledon Park,Wood Green,Wood Lane,Wood Street,Woodford,Woodgrange Park,Woodside Park,Woolwich Arsenal,All
Mansion House,0,0,1,4,6,0,0,0,0,0,0,0,0,2,0,8,1,3,0,3,0,0,0,0,1,0,0,0,13,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,0,1,0,4,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,9,0,0,0,0,0,0,0,8,0,0,12,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,0,3,0,0,0,8,1,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,32,0,0,0,0,0,0,0,1,0,0,0,84,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,20,0,0,3,0,0,0,0,0,3,0,2,14,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,8,0,0,1,0,0,0,5,0,0,0,0,42,0,0,10,0,0,3,0,0,0,0,0,0,0,0,516
Marble Arch,0,0,0,11,4,0,0,0,0,2,4,2,1,3,1,256,1,7,0,1,0,0,0,0,1,2,2,13,0,0,0,5,0,0,1,0,1,0,0,11,0,0,0,0,0,1,0,0,0,2,0,0,0,5,9,50,8,0,0,0,0,0,0,0,122,10,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,1,11,1,8,0,0,0,0,0,0,7,0,0,3,0,0,0,14,0,0,1,0,1,0,7,0,0,0,0,3,0,1,0,0,1,0,0,0,0,7,6,0,1,0,0,0,0,0,1,1,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,8,0,0,131,10,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,31,0,2,0,1,10,0,0,4,0,6,0,8,0,0,203,28,0,0,1,0,3,0,0,0,0,3,13,1,0,3,2,1,0,1,0,0,2,18,0,7,1,0,0,6,0,0,0,0,21,0,9,0,1,30,4,0,0,0,0,3,7,1,0,2,0,0,0,0,0,3,0,0,0,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,0,46,0,0,0,2,1,0,0,0,0,1,0,0,2,0,0,1,0,1,0,12,0,0,3,169,0,0,0,0,2,1,0,0,67,0,0,0,0,0,1,0,0,0,0,0,3,60,4,1,0,8,0,0,0,1,0,0,0,0,6,1,15,27,4,0,0,0,0,0,6,0,25,0,0,0,0,2,2,1,0,0,3,2,0,0,0,0,0,0,0,16,31,0,1,1,0,2,0,4,0,0,0,0,0,0,1808
Maryland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,878
Marylebone,0,0,2,21,7,0,0,0,0,8,11,2,0,7,3,322,25,9,0,7,0,0,0,0,0,3,6,19,100,5,0,44,16,2,1,0,2,0,0,35,0,0,0,0,0,1,0,0,0,3,0,0,0,9,21,165,40,64,0,0,0,0,0,0,164,286,0,0,0,0,0,0,6,0,0,2,5,0,0,6,3,33,0,0,0,0,0,0,0,1,6,0,0,1,0,0,0,1,0,0,8,2,1,0,0,2,0,0,11,0,141,0,0,152,0,0,0,17,19,0,35,0,3,0,17,0,0,8,0,0,0,8,1,2,2,0,0,0,4,80,1,0,5,0,0,0,0,0,16,2,0,9,6,0,0,4,2,0,3,0,0,2,3,1,0,1,45,0,56,3,0,195,3,5,0,0,0,1,0,0,0,12,0,0,0,0,2,5,0,0,5,0,0,0,0,0,12,0,56,0,34,1,64,1,0,0,11,0,3,0,1,0,0,115,132,0,0,1,16,3,0,74,4,0,0,13,0,0,32,1,1,0,1,0,0,0,6,0,15,0,2,3,1,0,0,0,0,6,0,20,0,14,479,262,0,6,0,0,0,326,66,0,0,0,0,0,0,0,4,41,0,1,1,1,0,0,0,46,1,0,0,0,0,0,0,0,0,0,0,23,0,22,0,0,2,1,0,0,23,1,0,0,0,0,41,0,0,0,0,3,0,0,2,1,83,0,53,5,191,0,0,0,0,0,8,0,4,71,0,0,0,0,0,12,0,48,0,0,3,12,88,7,0,0,47,1,0,2,2,0,0,1,0,4,2,163,439,7,0,0,0,0,0,15,21,273,0,0,0,3,2,1,30,0,0,5,3,0,0,1,0,0,0,0,87,5,0,9,0,25,14,2,4,1,0,0,0,1,0,6125
Mile End,0,0,8,1,177,0,0,0,0,37,8,2,1,39,4,326,95,51,10,11,0,0,0,0,9,3,6,37,141,1,0,161,27,1,2,0,3,1,0,20,0,40,0,0,0,1,0,0,0,3,0,0,0,19,0,2,25,63,0,1,0,0,0,4,239,3,0,0,2,0,5,0,6,0,0,1,2,0,0,3,2,12,0,0,0,0,0,0,0,7,14,0,0,7,0,0,0,0,29,1,11,6,8,42,0,10,0,2,26,0,24,5,0,119,0,0,5,24,99,3,177,6,6,0,10,0,0,15,0,13,0,16,3,0,10,0,0,0,55,36,6,0,14,0,0,0,0,3,42,4,0,11,2,0,0,0,2,0,1,0,1,2,4,6,0,2,21,0,0,2,0,265,24,10,0,0,3,0,0,1,0,7,0,0,0,0,9,1,0,0,7,0,0,2,2,0,5,0,144,0,37,7,2,39,0,5,16,0,45,0,62,0,0,541,67,0,0,7,2,2,0,56,62,0,21,0,0,0,49,2,15,0,1,0,0,13,29,0,24,0,1,0,4,4,0,0,0,53,0,24,1,18,279,53,0,6,0,0,1,43,17,0,30,0,0,0,0,0,11,4,0,0,19,6,0,0,9,4,19,0,3,0,0,0,2,0,0,0,2,13,0,1,0,0,51,1,0,0,50,19,0,1,0,0,74,0,0,1,0,1,13,0,2,0,5,0,137,14,202,3,0,0,0,8,2,0,1,425,0,0,0,0,0,11,0,72,0,1,3,9,269,0,2,0,99,2,0,9,1,6,3,8,0,36,3,36,55,0,0,0,9,0,0,18,3,149,1,0,0,0,9,2,18,0,0,44,9,0,0,15,0,0,7,0,108,49,0,270,1,6,30,2,6,4,0,11,0,1,0,7145
Mill Hill East,0,0,2,8,6,0,0,0,0,20,50,0,0,2,1,94,1,1,0,2,0,0,0,0,0,8,1,2,4,2,0,16,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,26,3,2,0,0,0,0,0,2,22,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,39,0,0,1,0,0,4,0,6,0,0,7,0,0,0,28,0,0,4,44,0,0,3,0,0,2,0,0,0,2,0,0,36,0,0,0,0,19,0,0,1,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,6,19,0,11,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,43,0,0,0,0,0,0,0,35,0,5,0,1,2,0,0,32,0,0,0,0,0,0,14,35,0,0,0,0,0,0,5,9,0,2,5,0,0,82,0,18,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,49,0,2,25,10,0,2,0,0,0,5,5,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,5,0,0,0,5,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,3,0,13,0,15,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,2,45,0,2,0,5,8,0,1,0,0,0,0,0,0,0,8,35,0,0,0,0,0,0,43,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,1,0,0,0,0,0,0,0,0,0,13,0,1293
Moor Park,0,0,0,19,0,0,0,5,0,2,0,0,0,19,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,2,0,4,0,0,7,0,2,4,1,0,0,0,0,39,0,0,0,0,0,0,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,16,0,47,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,24,16,0,0,0,0,0,0,2,2,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,21,8,0,0,0,2,0,0,8,8,0,0,0,0,0,5,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,0,0,9,41,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,2,0,0,0,0,0,1,0,0,0,0,0,648
Moorgate,0,0,0,353,93,0,0,0,0,91,9,0,0,97,15,700,92,9,0,0,0,0,0,0,0,6,12,3,6,0,0,4,144,0,0,0,6,2,0,21,0,8,0,0,0,0,2,0,0,1,0,0,0,28,9,128,5,4,0,0,0,0,0,10,4,1,0,0,0,0,0,1,20,0,0,14,10,0,0,22,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,1,0,3,7,0,0,0,2,27,0,171,0,0,11,0,0,0,37,40,0,386,2,3,0,0,0,0,0,0,0,0,2,9,4,1,0,0,0,52,18,0,0,1,0,0,0,0,0,12,10,0,0,0,0,0,0,6,0,0,0,0,0,0,14,0,2,19,0,0,1,0,5,0,1,0,0,0,0,1,0,0,2,0,0,0,0,21,0,0,0,5,0,0,0,1,0,0,0,64,0,2,9,5,0,0,5,2,0,0,0,0,0,0,200,610,0,0,0,0,0,0,4,0,0,2,19,1,0,0,8,2,0,0,0,0,0,0,0,22,0,0,0,0,2,1,0,0,4,0,19,0,60,6,91,0,1,0,0,0,5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,2,0,0,12,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,28,0,29,3,4,0,0,1,0,24,16,0,0,16,0,0,0,0,0,1,0,5,0,0,8,31,2,0,0,0,73,3,0,0,3,0,0,2,0,3,8,5,9,0,0,0,0,0,0,2,0,34,0,0,0,0,20,0,0,0,1,6,1,0,0,0,0,0,6,0,35,1,0,22,1,0,0,0,2,9,0,0,0,3,0,4416
Morden,0,0,2,26,43,0,2,0,0,113,9,1,0,52,315,698,25,4,0,3,0,0,0,0,0,14,7,15,40,7,0,44,99,0,1,0,3,1,0,52,0,1,0,0,0,1,1,0,0,6,0,0,0,37,8,217,22,3,0,0,0,0,0,12,68,64,0,0,0,0,0,0,114,0,0,71,93,0,0,20,113,5,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,3,4,0,5,1,2,3,0,0,0,3,26,0,176,0,0,93,0,0,0,98,0,0,56,7,7,0,25,0,0,0,0,2,0,13,8,0,81,0,0,0,1,142,3,0,3,0,0,0,0,0,17,6,0,4,3,0,0,1,5,0,0,0,0,0,1,19,0,3,10,0,30,5,0,41,8,9,0,0,0,0,0,0,0,6,0,0,0,0,21,2,0,0,13,0,0,0,4,0,3,0,152,2,29,3,15,5,0,0,121,0,4,0,4,0,0,72,284,0,0,0,5,6,0,8,23,0,26,19,0,0,423,0,24,0,3,0,0,1,7,0,30,0,0,0,2,2,2,0,0,11,0,228,0,87,258,50,2,0,0,0,0,26,60,0,1,0,0,0,0,0,0,3,0,2,4,2,0,0,2,21,0,0,0,0,0,0,1,0,0,0,0,20,0,29,0,0,8,0,0,0,32,1,0,1,0,0,67,0,0,1,0,158,1,0,0,2,11,0,39,17,22,0,0,3,0,4,54,0,1,101,0,0,0,0,0,9,0,25,0,0,141,668,149,11,2,0,55,3,0,1,4,0,0,1,0,1,3,212,305,7,0,0,1,0,0,129,6,174,0,0,0,1,12,0,1,0,0,5,6,0,0,1,0,0,2,0,30,23,0,18,1,2,0,0,9,0,0,0,0,5,0,8035
Mornington Crescent,0,0,0,1,1,0,0,0,0,4,20,0,0,0,1,27,0,0,0,2,0,0,0,0,0,3,0,2,9,0,0,9,3,0,0,0,1,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,19,2,1,0,0,0,0,0,1,10,23,0,0,0,0,0,0,4,0,0,3,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,9,0,0,0,0,2,0,0,2,0,0,6,0,0,0,9,0,0,0,10,0,0,0,0,0,4,0,0,0,1,5,0,29,0,0,0,0,10,1,0,0,0,0,0,0,0,8,7,0,1,0,0,0,0,0,0,0,0,0,0,2,6,0,12,1,0,2,7,0,3,4,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,15,0,0,0,0,0,0,0,2,0,4,0,2,0,0,0,27,0,0,0,0,0,0,4,11,0,0,0,0,0,0,3,3,0,0,1,4,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,13,0,5,12,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,6,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,2,0,14,0,10,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,2,0,0,1,3,36,1,1,0,5,3,0,1,0,0,0,0,0,0,0,14,25,2,0,0,0,0,0,14,0,57,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,1,0,0,0,0,0,6,0,691
Mudchute,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,583,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,25,1,0,0,0,0,0,0,34,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,51,0,0,0,0,60,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1355
Neasden,0,0,0,18,5,0,0,0,0,3,0,0,0,49,2,26,15,0,0,7,0,0,0,0,0,0,5,4,4,4,0,90,0,0,0,0,0,0,0,12,0,1,0,0,0,1,0,0,0,0,0,0,0,0,29,60,24,2,0,25,0,0,0,0,24,10,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,9,0,0,1,0,3,2,0,12,0,8,0,0,3,0,0,0,2,29,0,46,0,34,0,6,0,0,7,0,2,0,10,0,1,0,0,0,0,19,48,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,9,0,17,0,2,24,3,3,0,0,0,1,2,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,94,0,0,0,38,51,23,1,1,3,0,1,7,0,1,0,1,0,0,44,77,0,0,0,0,0,0,4,7,0,3,8,0,2,22,3,0,0,0,0,0,0,0,0,8,4,0,1,0,42,4,8,0,8,0,13,0,2,26,14,0,6,0,0,0,19,8,4,0,0,0,14,0,0,5,0,0,20,2,1,2,0,0,6,1,1,0,0,0,0,2,0,4,0,1,6,0,6,0,0,6,0,0,0,24,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,46,0,18,50,19,0,0,59,0,0,2,0,0,27,0,0,0,0,0,55,0,6,0,0,2,7,22,1,0,0,6,0,0,1,1,0,0,0,0,0,29,26,47,3,0,0,0,0,0,3,2,65,4,0,0,0,77,0,7,0,0,4,160,2,0,1,0,0,0,0,34,1,0,2,21,0,0,2,1,0,0,0,0,0,0,2333
New Cross,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,62,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,1440
